id,country-code,name,code
e9fc907e-e0db-4800-bfc3-e47705230c4d,"AD","Andorra la Vella","AD-07"
00e7c6de-f307-4c3a-a4e0-caf6c786aaf8,"AD","Canillo","AD-02"
26e6115c-9420-47d1-935d-f2c3fcc3565e,"AD","Encamp","AD-03"
490196da-6391-469e-b1b4-ac888b50667b,"AD","Escaldes-Engordany","AD-08"
30b9e92e-2f6d-4afb-ac28-6acb3154aaf6,"AD","La Massana","AD-04"
3cd7e6ed-e354-4020-a293-0de3ce9eb1ed,"AD","Ordino","AD-05"
6882e1c1-7d0f-4d97-b960-beed1b0d1290,"AD","Sant Julia de Loria","AD-06"
799584c6-d64a-4283-a9d7-89e83a839f4d,"AE","'Ajman","AE-AJ"
2dc6c3f7-acc1-4112-a3ec-2982919d45e3,"AE","Abu Zaby","AE-AZ"
ea38d01e-36da-466e-9d5e-822ef6b9ddda,"AE","Al Fujayrah","AE-FU"
e6e5b459-4650-4319-80d1-cbe0f584e45b,"AE","Ash Shariqah","AE-SH"
38cb2495-1733-4289-9676-ec88e70e8e4e,"AE","Dubayy","AE-DU"
2a78f6ce-a526-4036-bf14-0fe681b986cf,"AE","Ra's al Khaymah","AE-RK"
658fe27f-38f1-4c14-93d3-bb0dc2dbddcb,"AE","Umm al Qaywayn","AE-UQ"
4b48e3c3-b518-4f63-ba20-722517331a71,"AF","Badghis","AF-BDG"
dd76224a-c2e2-4daf-b67e-e84788c6da78,"AF","Baghlan","AF-BGL"
dff64e11-068c-42c9-8d8e-e460696699b0,"AF","Balkh","AF-BAL"
bd627326-bac8-4dd2-aafb-15d38ed2721d,"AF","Bamyan","AF-BAM"
84965955-1eac-41f1-bcaf-833ced2fb195,"AF","Daykundi","AF-DAY"
6c72758e-9951-40d7-bdfa-7852c2920991,"AF","Farah","AF-FRA"
3b5d98dc-c5aa-4721-a4ff-9a42baa066b9,"AF","Faryab","AF-FYB"
fc77f0ae-cd85-402f-abba-33ef66054311,"AF","Ghazni","AF-GHA"
efabc4e9-ac2c-49f3-ab19-29fbb659ab46,"AF","Ghor","AF-GHO"
98284541-5cfa-42cd-87c8-13977b627fe6,"AF","Helmand","AF-HEL"
42d014d2-ffe0-4b84-8b84-913040d6fc9c,"AF","Herat","AF-HER"
eb3fda57-db17-46d2-b8ca-bf04de2497df,"AF","Jowzjan","AF-JOW"
ccfbe331-4cd8-40c6-931a-caf2b44dcfb6,"AF","Kabul","AF-KAB"
891ff36c-e835-441c-a236-2186cc1ec40b,"AF","Kandahar","AF-KAN"
dfe3b1a1-385d-42d7-a64d-bee20986f5ab,"AF","Khost","AF-KHO"
6a24a4de-aa7f-44b6-877d-0c92b2165786,"AF","Kunduz","AF-KDZ"
33afeadd-d6ca-42e9-9639-4f9aebe04880,"AF","Laghman","AF-LAG"
bf4b9e42-4e73-4bbb-b430-f65ef0b04cca,"AF","Logar","AF-LOG"
80eba42f-3706-4f7c-8c22-cf7fac4c7da4,"AF","Nangarhar","AF-NAN"
9f737faa-34bd-469f-b0ff-2e0246a181c1,"AF","Nimroz","AF-NIM"
02fd0562-6efb-466e-a09f-615985fde411,"AF","Paktiya","AF-PIA"
5ef0b144-9119-411c-903a-e8d45edc8fb1,"AF","Parwan","AF-PAR"
79a3b15b-c75c-453d-b3c7-61a563aca605,"AF","Samangan","AF-SAM"
f6946437-747e-48f5-8191-36f0d5e0bd5c,"AF","Sar-e Pul","AF-SAR"
c6364514-0dc1-4d55-b354-68341d046861,"AF","Takhar","AF-TAK"
0fbbfeca-295d-400d-b6d9-d2a556ed2ad3,"AF","Uruzgan","AF-URU"
1178fb77-be3e-43c4-a760-edfe75a3d012,"AG","Barbuda","AG-10"
7d33b4b6-8770-48e5-881c-17a415c0b2e1,"AG","Redonda","AG-11"
9540a469-50eb-472d-ba6f-8c722f5aa4d8,"AG","Saint George","AG-03"
50ab00b0-c5ba-4d15-a4ca-d14c0911b156,"AG","Saint John","AG-04"
f18c1d58-397a-4ade-b58d-cacb42ebb153,"AG","Saint Mary","AG-05"
a751f824-eef1-404e-bed8-e274546cc1d7,"AG","Saint Paul","AG-06"
4a185480-2424-4f00-98e5-81e356a1cf1a,"AG","Saint Peter","AG-07"
e8b248c9-a229-4778-9d14-42ddc4e99b1e,"AG","Saint Philip","AG-08"
06f3db1c-cbe0-4f91-8d56-dd05a4e6899d,"AI","Anguilla","-"
8161d7e8-d382-44a5-9e56-1d906d330190,"AL","Berat","AL-01"
f558cdc3-2792-4fe5-ba7c-e5431f8a9690,"AL","Diber","AL-09"
bdb65ef0-c835-40ea-b5c3-deb4f7936428,"AL","Durres","AL-02"
33aeca37-e0c5-4d95-b458-c05abda1d82b,"AL","Elbasan","AL-03"
d013960f-e1a1-49e4-8a50-a97ac9afa240,"AL","Fier","AL-04"
c601a1ff-026a-4e2b-afbc-7c071cc3fe4a,"AL","Gjirokaster","AL-05"
b3bc9b97-6165-4c87-86bc-09d95f901b35,"AL","Korce","AL-06"
0b85f330-61ad-4f78-b8cd-b5e6e41666af,"AL","Kukes","AL-07"
2ef9b75b-6c07-4075-9aac-cfe2081b57ab,"AL","Lezhe","AL-08"
2f90d622-c051-4ab3-9799-6d2f49de6f25,"AL","Shkoder","AL-10"
ae957d18-39b0-465e-b4ad-f36799f1fbd4,"AL","Tirane","AL-11"
b8069724-6f46-48f9-a720-09e7f7612d3c,"AL","Vlore","AL-12"
226b2110-2874-4d86-b1b3-488fbde18f6e,"AM","Aragacotn","AM-AG"
7d2138a8-2bf5-4596-a7bc-915e7a5c2910,"AM","Ararat","AM-AR"
1f96bc08-4be1-4d4d-8caa-50a1b5cb5def,"AM","Armavir","AM-AV"
68a49a0b-56ad-4b18-b947-462b9ac36f5d,"AM","Erevan","AM-ER"
044fe64b-0d33-4bf9-8416-1bdbf83f8598,"AM","Gegark'unik'","AM-GR"
1bf5d5e8-3243-40ac-9da4-e88eae4db722,"AM","Kotayk'","AM-KT"
00229066-208a-4f9a-8e06-ff39f4af9572,"AM","Lori","AM-LO"
11d1d7fb-fa3c-4a85-b473-b4f3c8f377d7,"AM","Sirak","AM-SH"
6039eb39-8e7f-4446-a90b-b5fdc8c9f311,"AM","Syunik'","AM-SU"
a58fc470-ea09-4932-9e6d-b05f15f7e518,"AM","Tavus","AM-TV"
8e735e07-a674-4c51-b83f-097d58406f43,"AM","Vayoc Jor","AM-VD"
42f9df4f-4ff5-4409-8563-bca7aaaa83bd,"AO","Bengo","AO-BGO"
23ba149f-55a9-45db-b863-159c0305529e,"AO","Benguela","AO-BGU"
8e34e628-fe64-4d6d-9f02-9ab96fc1a99a,"AO","Bie","AO-BIE"
a7e312ab-1430-4a86-8e89-0c416b806b97,"AO","Cabinda","AO-CAB"
c4b1986e-46ca-4cd6-81d5-fa2188b4af8e,"AO","Cuando Cubango","AO-CCU"
b8ad1499-5a16-4afd-beb5-40596f8ce6d6,"AO","Cuanza-Norte","AO-CNO"
dfe6fb1a-dd0e-4762-babf-b934610fbbfa,"AO","Cuanza-Sul","AO-CUS"
87f938d3-7093-4bba-8131-7fad2f34b17c,"AO","Cunene","AO-CNN"
d256e4b5-5d00-4f55-80b0-0b4bf07fdef0,"AO","Huambo","AO-HUA"
8041894a-36b4-446f-b771-a3387cf987da,"AO","Huila","AO-HUI"
1057a733-1533-4f1f-990d-3041362effbb,"AO","Luanda","AO-LUA"
e9fa9fa7-5831-4e46-bcde-a66165195a33,"AO","Lunda-Norte","AO-LNO"
d4fec797-d130-401b-b945-870206fa9587,"AO","Lunda-Sul","AO-LSU"
faa39fce-99cf-4fca-8461-e996585b9687,"AO","Malange","AO-MAL"
90fa1507-07a0-4b61-9a26-59541223d291,"AO","Moxico","AO-MOX"
9573977a-b875-4345-a4fe-14a9d5d659a0,"AO","Namibe","AO-NAM"
ab1746e9-e63f-42f1-a31d-c5b8b2d0814d,"AO","Uige","AO-UIG"
b644bd1c-ce6e-4a92-a3af-04da8e8b2652,"AO","Zaire","AO-ZAI"
53149960-2bd9-467a-ba69-60013e96a10e,"AQ","Antarctica","-"
08cfacb0-788a-4a4d-aec3-b0bb0a389839,"AR","Buenos Aires","AR-B"
aef9ddba-218e-48e4-be2d-0653f98d05fd,"AR","Catamarca","AR-K"
d04c106a-4646-41d3-91e6-80dc4bd90c41,"AR","Chaco","AR-H"
9d1da7be-8aef-435e-bf42-3bfb281053ec,"AR","Chubut","AR-U"
29a18b46-17b5-4fb7-8e69-2473713c0d2c,"AR","Ciudad Autonoma de Buenos Aires","AR-C"
788a4d24-8706-4cf5-b334-f2d5442dddc3,"AR","Cordoba","AR-X"
5138bbd3-bcb9-416b-a05f-5f8085ed1db4,"AR","Corrientes","AR-W"
4d6a1e6b-5f59-4631-a059-fa0bae693ead,"AR","Entre Rios","AR-E"
5c4c2c9c-e66d-471a-8c79-6fedc2b04b01,"AR","Formosa","AR-P"
d9940834-494a-45c7-8b3b-846ed1c052ef,"AR","Jujuy","AR-Y"
117e11a0-a664-4e48-9ed8-b68f2e11d548,"AR","La Pampa","AR-L"
966a4c52-b77e-4a58-b66c-5df30cea74a7,"AR","La Rioja","AR-F"
272cb4bf-23a7-4e78-886e-009c0ca8f78b,"AR","Mendoza","AR-M"
677bf3b3-0a47-4947-b666-71a3770ba925,"AR","Misiones","AR-N"
fdc3be49-20bf-403b-9597-81922d12b6b6,"AR","Neuquen","AR-Q"
b38a0960-0b36-4416-92e4-f4dcd211acf1,"AR","Rio Negro","AR-R"
17c8cf36-a994-4ff5-b87f-4062a36fc20a,"AR","Salta","AR-A"
974ea14c-c300-452b-93f0-181242810d62,"AR","San Juan","AR-J"
ae2e07f1-6f13-46a2-baee-ea308301cbe8,"AR","San Luis","AR-D"
